unitid,input_year,outcome_year,outcome_lag,instnm,sector,ccbasic,stabbr,base_level,finance_form,instr_exp_per_fte,stud_serv_exp_per_fte,total_exp,total_fte,total_enrollment_ipeds,faculty_fte,stud_fac_ratio,pell_pct,sal_instr_avg_9mo,sal_noninstr_avg,total_sal_per_fte,total_completions,admit_rate,sat75,act75,yield_rate,grad_rate_150_4yr,grad_rate_150_2yr,grad_rate_200_4yr,grad_rate_200_2yr,median_earnings_6yr,median_earnings_10yr,loan_repayment_3yr,completion_rate_sc,retention_rate_sc,instr_exp_per_fte_missing,total_exp_missing,total_fte_missing,total_enrollment_ipeds_missing,faculty_fte_missing,pell_pct_missing,sal_instr_avg_9mo_missing,sal_noninstr_avg_missing,total_sal_per_fte_missing,total_completions_missing,admit_rate_missing,sat75_missing,act75_missing,yield_rate_missing,instr_exp_per_fte_log,stud_serv_exp_per_fte_log,total_exp_log,sal_instr_avg_9mo_log,sal_noninstr_avg_log,total_sal_per_fte_log,median_earnings_6yr_log,median_earnings_10yr_log,instr_exp_per_fte_z,stud_serv_exp_per_fte_z,total_exp_z,total_fte_z,total_enrollment_ipeds_z,faculty_fte_z,stud_fac_ratio_z,pell_pct_z,sal_instr_avg_9mo_z,sal_noninstr_avg_z,total_sal_per_fte_z,total_completions_z,admit_rate_z,sat75_z,act75_z,yield_rate_z,resource_concentration_idx,student_support_intensity,sat_act_composite,value_added_proxy,selectivity_composite,financial_health_idx
100937,2015,2017,2,Birmingham Southern College,2,21,AL,2-year,FASB_NP,11442.784615384617,7763.158704453442,46195262,1235,1346,93,13.279569892473118,0.21,47328,51366.30927835051,12435.837246963563,458,0.530578962,600,29,0.22592213114754095,0.6606498194945848,NA,0.61,NA,NA,NA,NA,0.6606,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.345202033,8.957273385148177,17.64838781832762,10.76487849442862,10.846757242847708,9.428418093370766,0,0,0.512786709,1.2493460738293043,-0.205734222,-0.570393472,-0.53158073,-0.332332066,-0.416801511,-1.26629825,-0.97796597,-0.414163596,0.42982947040932085,-0.553965762,-1.072856867,-0.17435202,1.1162999320689688,-0.322332999,0.9733578718180257,7763.158704453442,0.47097395603841774,-0.018766368,-1.000263264,0.26923600991351715
101028,2015,2019,4,Chattahoochee Valley Community College,4,2,AL,4-year,GASB,1942.6114173228343,722.6732283464567,58814815,2540,1665,38,66.84210526315789,0.67,50859,49589.181818181816,1868.93937,452,0.7226534932956952,605,26,0.241832305,NA,NA,NA,0.28,NA,NA,NA,0.1877,NA,0,1,0,0,0,0,1,0,0,0,1,1,1,1,7.5723030768316555,6.584339948437324,17.88990435391816,10.83683203897611,10.811548145904807,7.533661286905228,0,0,-0.63378506,-0.703989059,-0.186560514,-0.468335545,-0.499667345,-0.441013583,-0.057142464,1.0990973944066635,-0.817753309,-0.552003174,-0.391591732,-0.555093972,0.13007709933410744,-0.065457922,-0.070243363,-0.201246297,0.8430999673561296,722.6732283464567,-0.067850643,NA,0.17496373154072156,-0.230320299
101073,2015,2017,2,Concordia College Alabama,2,22,AL,2-year,FASB_NP,5854.944984,1606.7443365695792,11165980,618,487,21,29.428571428571427,0.91,28793,38726.02739726027,6478.964401294498,102,0.4033970276008493,605,26,0.2125,0.1513157894736842,1,0.1,NA,NA,NA,NA,0.1513,NA,0,0,0,0,0,0,1,0,0,0,0,1,1,0,8.675212660757325,7.382587442427259,16.22838230325687,10.26792231,10.564293017620544,8.776470295703838,0,0,-0.161607224,-0.458709502,-0.258956489,-0.618646146,-0.617516771,-0.474606052,-0.308364999,2.333216861307235,-1.818957668,-1.394583492,-0.033229955,-0.620906245,-1.869378234,-0.065457922,-0.070243363,-0.424484087,0.7515527659074165,1606.7443365695792,-0.067850643,-0.152153125,-0.659590745,-0.08285977
101116,2015,2017,2,South University-Montgomery,3,23,AL,2-year,FASB_FP,3185.4722735674677,2517.252310536044,10891402,1082,581,7,154.57142857142858,0.77,53790,63940.37837837838,2531.6571164510165,286,0.7226534932956952,605,26,0.241832305,0.1914893617021277,1,0,NA,NA,NA,NA,0.1915,NA,0,0,0,0,0,0,1,0,0,0,1,1,1,1,8.066669713498062,7.831320412338917,16.203484320403252,10.892861445910619,11.065721979753674,7.837024274258065,0,0,-0.483784724,-0.206095216,-0.259373673,-0.582358884,-0.608112827,-0.502270438,0.5319380320846384,1.6133138389485682,-0.684764549,0.5611206297991193,-0.340075155,-0.586307793,0.13007709933410744,-0.065457922,-0.070243363,-0.201246297,0.99007302771476835,2517.252310536044,-0.067850643,-0.181011375,0.17496373154072156,-0.286174036
101143,2015,2019,4,Enterprise State Community College,4,2,AL,4-year,GASB,3041.070231729055,890.1062389,58814815,2805,1882,52,53.94230769230769,0.63,44210,48341.5,2222.9882352941177,494,0.7226534932956952,605,26,0.241832305,NA,NA,NA,0.24,NA,NA,NA,0.2027,NA,0,1,0,0,0,0,1,0,0,0,1,1,1,1,8.020293559906133,6.7924636558950064,17.88990435391816,10.696728905881372,10.786066369924747,7.707057365470743,0,0,-0.501212544,-0.657535901,-0.186560514,-0.447611139,-0.47795824,-0.413349197,-0.143761383,0.8934108165899014,-1.119439513,-0.648777288,-0.36406963,-0.547196499,0.13007709933410744,-0.065457922,-0.070243363,-0.201246297,0.7717223416632094,890.1062389,-0.067850643,NA,0.17496373154072156,-0.23019876
101161,2015,2019,4,James H Faulkner State Community College,4,5,AL,4-year,GASB,2343.102828520919,482.2445492044785,58814815,6788,4580,90,75.42222222222222,0.54,63385,49860.14457831325,1366.5490571596936,1030,0.7226534932956952,605,26,0.241832305,NA,NA,NA,0.28,NA,NA,NA,0.162,NA,0,1,0,0,0,0,1,0,0,0,1,1,1,1,7.759658018557612,6.180522838572118,17.88990435391816,11.056998295851676,10.816997312656692,7.220775407261245,0,0,-0.585449926,-0.770694372,-0.186560514,-0.1361194,-0.208045038,-0.338260149,4.7087886887325545e-4,0.43061601650218717,-0.249408987,-0.530986452,-0.430645205,-0.446409704,0.13007709933410744,-0.065457922,-0.070243363,-0.201246297,0.659269479,482.2445492044785,-0.067850643,NA,0.17496373154072156,-0.340197108
101189,2015,2017,2,Faulkner University,2,22,AL,2-year,FASB_NP,4341.007515151515,2305.8596363636366,44744293,4125,3262,115,35.869565217391305,0.54,40528,44694.102857142854,3632.146181818182,1460,0.5730140186915887,515,24,0.30275229357798167,0.28013029315960913,NA,0.22,NA,NA,NA,NA,0.2801,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.376092081240865,7.743642413827601,17.616474486175367,10.60977305,10.707619218831372,8.197854268631135,0,0,-0.344323679,-0.264744685,-0.207938774,-0.344380133,-0.339900338,-0.28885946,-0.265115335,0.43061601650218717,-1.286503523,-0.931680846,-0.254528284,-0.365554626,-0.807092474,-2.025551682,-0.861272226,0.2623941661341618,0.9312774141625845,2305.8596363636366,-1.443411954,-0.127181,1.4131234980998264,-0.238530417
101240,2015,2019,4,Gadsden State Community College,4,3,AL,4-year,GASB,3171.822553023317,1016.5356343037809,58814815,7591,5018,149,50.946308724832214,0.68,51613,48855.65470852018,2488.9740482149914,3074,0.7226534932956952,605,26,0.241832305,NA,NA,NA,0.28,NA,NA,NA,0.2503,NA,0,1,0,0,0,0,1,0,0,0,1,1,1,1,8.062376865980093,6.925138938132291,17.88990435391816,10.851548232499086,10.796645875593438,7.820027567000822,0,0,-0.485432103,-0.62245892,-0.186560514,-0.073320538,-0.16422666,-0.221674522,-0.163878767,1.150519038860854,-0.783541939,-0.608897836,-0.343393137,-0.06206603,0.13007709933410744,-0.065457922,-0.070243363,-0.201246297,0.7995097994898035,1016.5356343037809,-0.067850643,NA,0.17496373154072156,-0.302285786
101286,2015,2019,4,George C Wallace State Community College-Dothan,4,2,AL,4-year,GASB,2432.0676725425756,549.8356737376755,58814815,6694,4769,128,52.296875,0.65,50725,50475.44776119403,1985.4014042426056,1974,0.7226534932956952,605,26,0.241832305,NA,NA,NA,0.41,NA,NA,NA,0.307,NA,0,1,0,0,0,0,1,0,0,0,1,1,1,1,7.796908156840841,6.311436531891687,17.88990435391816,10.834193878644593,10.829262125507567,7.594079941122123,0,0,-0.574712798,-0.751941671,-0.186560514,-0.143470699,-0.189137108,-0.263171101,-0.154810052,0.9962541054982824,-0.823833313,-0.483261608,-0.382538518,-0.268904602,0.13007709933410744,-0.065457922,-0.070243363,-0.201246297,0.6895889418248573,549.8356737376755,-0.067850643,NA,0.17496373154072156,-0.315385153
101295,2015,2019,4,George C Wallace State Community College-Hanceville,4,2,AL,4-year,GASB,2875.977195945946,787.2511261261261,58814815,7104,5418,122,58.22950819672131,0.6,57269,45105.47204968944,1943.3015202702704,2198,0.7226534932956952,605,26,0.241832305,NA,NA,NA,0.47,NA,NA,NA,0.4432,NA,0,1,0,0,0,0,1,0,0,0,1,1,1,1,7.964495437189215,6.669816727064969,17.88990435391816,10.955532205387904,10.716781019622697,7.572658076012841,0,0,-0.521137551,-0.686072357,-0.186560514,-0.111406522,-0.124209877,-0.275027267,-0.114973902,0.7391458832273298,-0.526911292,-0.899773762,-0.385811166,-0.226784747,0.13007709933410744,-0.065457922,-0.070243363,-0.201246297,0.7507570207195408,787.2511261261261,-0.067850643,NA,0.17496373154072156,-0.320183134
101301,2015,2019,4,George C Wallace State Community College-Selma,4,2,AL,4-year,GASB,1747.6082949308757,1160.6292095001772,58814815,2821,1591,55,51.29090909090909,0.86,50657,46403.778947368424,2480.739454094293,794,0.7226534932956952,605,26,0.241832305,NA,NA,NA,0.29,NA,NA,NA,0.3118,NA,0,1,0,0,0,0,1,0,0,0,1,1,1,1,7.466575490491044,7.057578789673952,17.88990435391816,10.832852443897554,10.745157727466125,7.816714986078026,0,0,-0.657319902,-0.582481131,-0.186560514,-0.446359854,-0.50707045,-0.407421114,-0.161564862,2.076108639036282,-0.826918689,-0.799073008,-0.344033256,-0.49078598,0.13007709933410744,-0.065457922,-0.070243363,-0.201246297,0.9704118713339255,1160.6292095001772,-0.067850643,NA,0.17496373154072156,-0.22092206
101365,2015,2017,2,Herzing University-Birmingham,3,22,AL,2-year,FASB_FP,3181.03367,2442.2760942760942,4492223,594,370,9,66,0.58,53451,55441.529411764706,2533.2996632996633,360,0.9541284403669724,605,26,0.6730769230769231,0.44,1,0,NA,NA,NA,NA,0.44,NA,0,0,0,0,0,0,1,0,0,0,0,1,1,0,8.06527579,7.801095079311752,15.31785846002639,10.886539333900952,10.923102257133358,7.837672610913608,0,0,-0.484320417,-0.226896861,-0.269096362,-0.620523074,-0.62922168,-0.498318383,-0.06279699,0.6363025943189488,-0.700146053,-0.098076744,-0.339947471,-0.572393198,1.579769955099048,-0.065457922,-0.070243363,3.080803811884451,0.9875140793658187,2442.2760942760942,-0.067850643,-0.026186782,0.2623230606156914,-0.301718299
101435,2015,2017,2,Huntingdon College,2,22,AL,2-year,FASB_NP,5676.7129783693845,5288.475041597338,21224418,1202,1166,44,27.318181818181817,0.48,55507,49748.080882352944,7576.123128119801,474,0.5769439912996194,559,23,0.23751178133836004,0.3671875,NA,0.42,NA,NA,NA,NA,0.3672,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.644303785978796,8.573474283935186,16.87066291640658,10.924282433490902,10.814747267689505,8.932888872046112,0,0,-0.183117968,0.56276181,-0.24367405,-0.572974247,-0.549588282,-0.429157417,-0.322535739,0.12208615,-0.606858817,-0.539678464,0.052058032,-0.550957201,-0.782479645,-1.067283622,-1.256786658,-0.234128275,0.9990955197383712,5288.475041597338,-1.16203514,-0.085786587,1.150981608,-0.042774245
101462,2015,2019,4,J F Drake State Community and Technical College,4,1,AL,4-year,GASB,1975.559861,769.4303065355697,58814815,1729,996,31,55.774193548387096,0.86,39564,51090.53571428572,2551.694042799306,252,0.7226534932956952,605,26,0.241832305,NA,NA,NA,0.16,NA,NA,NA,0.1382,NA,0,1,0,0,0,0,1,0,0,0,1,1,1,1,7.589113168739759,6.646949198411583,17.88990435391816,10.585700168043294,10.841374120872606,7.844904567834726,0,0,-0.629808527,-0.691016623,-0.186560514,-0.53176005,-0.566595415,-0.454845776,-0.131460727,2.076108639036282,-1.330243259,-0.435553458,-0.338517578,-0.592700985,0.13007709933410744,-0.065457922,-0.070243363,-0.201246297,0.8558639987900382,769.4303065355697,-0.067850643,NA,0.17496373154072156,-0.136064041
101471,2015,2019,4,J F Ingram State Technical College,4,1,AL,4-year,GASB,8508.5,1780.9963855421686,58814815,830,422,39,21.28205128205128,0,86093,62864.4359,8550.743373493975,1022,0.7226534932956952,605,26,0.241832305,NA,NA,NA,0.5,NA,NA,NA,0.2983,NA,0,1,0,0,0,0,1,0,0,0,1,1,1,1,9.048938465434732,7.485489579713416,17.88990435391816,11.363195001576461,11.048751782868443,9.053890444477975,0,0,0.1586491758940416,-0.410364449,-0.186560514,-0.602066621,-0.624019499,-0.439037555,-0.363066848,-2.346152784,0.7809249472079631,0.4776671573596826,0.12782044953899513,-0.447913985,0.13007709933410744,-0.065457922,-0.070243363,-0.201246297,0.66472206,1780.9963855421686,-0.067850643,NA,0.17496373154072156,0.3268288613078174
101480,2015,2017,2,Jacksonville State University,1,18,AL,2-year,GASB,5054.944935217904,1715.471829603455,58814815,10188,8314,317,32.138801261829656,0.44,57341,42649.991228070176,4340.952100510404,3352,0.666450567,550,26,0.5102140077821011,0.37210982658959535,NA,0.35,NA,NA,NA,NA,0.3721,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8.528320044789915,7.448026201229989,17.88990435391816,10.956788618494235,10.660805793636163,8.376079319,0,0,-0.258158882,-0.428543794,-0.186560514,0.12977864555985424,0.16551163324814652,0.11029811041179814,-0.290166483,-0.083600428,-0.523644424,-1.090228554,-0.199429028,-0.009792282,-0.221913392,-1.263292998,-0.070243363,1.8413118234012744,0.8165877072094018,1715.471829603455,-0.66676818,-0.128886938,0.4347268718842998,-0.242617857
101499,2015,2019,4,Jefferson Davis Community College,4,1,AL,4-year,GASB,2959.083436341162,1127.5061804697157,58814815,1618,1098,35,46.22857142857143,0.42,60357,60034.13157894737,2503.050061804697,496,0.7226534932956952,605,26,0.241832305,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,1,1,1,1,7.992972734873929,7.028650072954791,17.88990435391816,11.008048777806648,11.002685196166379,7.825664724753643,0,0,-0.511107495,-0.591670891,-0.186560514,-0.540440839,-0.556391135,-0.446941666,-0.195557195,-0.186443717,-0.386798944,0.25813987999881405,-0.342298934,-0.546820429,0.13007709933410744,-0.065457922,-0.070243363,-0.201246297,0.8498094300657446,1127.5061804697157,-0.067850643,NA,0.17496373154072156,-0.123404517
101514,2015,2019,4,John C Calhoun State Community College,4,3,AL,4-year,GASB,1901.0937307550191,379.40035718684567,58814815,16238,9985,144,112.76388888888889,0.51,56778,51500.825,1125.6716960216777,3140,0.7226534932956952,605,26,0.241832305,NA,NA,NA,0.29,NA,NA,NA,0.2581,NA,0,1,0,0,0,0,1,0,0,0,1,1,1,1,7.550710521993645,5.941224269647781,17.88990435391816,10.946921818036719,10.84937252291716,7.027023163723557,0,0,-0.638795812,-0.799227798,-0.186560514,0.6029207553389851,0.33268174492456243,-0.23155466,0.25121084449917125,0.2763510831396156,-0.549189518,-0.403730134,-0.449369884,-0.049655716,0.13007709933410744,-0.065457922,-0.070243363,-0.201246297,0.6493275751284934,379.40035718684567,-0.067850643,NA,0.17496373154072156,-0.380999046
101541,2015,2017,2,Judson College,2,21,AL,2-year,FASB_NP,7100.991543,2781.985200845666,9438567,473,374,28,16.892857142857142,0.57,37891,37400.78689,8105.547568710359,160,0.6291793313069909,610,25,0.3140096618357488,0.32,NA,0.41,NA,NA,NA,NA,0.32,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.868130522758925,7.931279443813464,16.060314831699593,10.542495286995425,10.529473759941679,9.000427355944332,0,0,-0.011222407,-0.132646864,-0.26158106,-0.629985916,-0.628821513,-0.460773859,-0.39253919,0.5848809498647581,-1.406152571,-1.497373301,0.093213011,-0.610000211,-0.455337549,0.043436175513165455,-0.465757795,0.34807001039648544,0.8574766719428727,2781.985200845666,-0.21116081,-0.142928957,0.006687912,-0.007874448
101587,2015,2017,2,University of West Alabama,1,18,AL,2-year,GASB,4901.557283464567,1758.5917322834646,58814815,5080,4032,121,41.98347107438016,0.55,36223,44013.14983713355,4034.491338582677,1898,0.7347280334728034,545,21,0.4783599088838269,0.3324022346368715,1,0.28,NA,NA,NA,NA,0.3324,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8.497512243,7.472837090829441,17.88990435391816,10.497477161562855,10.692266448409896,8.302883342456257,0,0,-0.276671171,-0.416580468,-0.186560514,-0.269694065,-0.262868031,-0.277003294,-0.224061984,0.48203766095637773,-1.481835018,-0.984497698,-0.223251854,-0.283195267,0.2056981324215906,-1.372187095,-2.047815522,1.598881554280229,0.8327920092130542,1758.5917322834646,-1.710001308,-0.054745436,1.9619211068955233,-0.218336836
101602,2015,2019,4,Lurleen B Wallace Community College,4,1,AL,4-year,GASB,3571.861943687557,1062.759309718438,58814815,2202,1732,55,40.03636363636364,0.69,45668,49635.621212121216,2751.322434150772,714,0.7226534932956952,605,26,0.241832305,NA,NA,NA,0.37,NA,NA,NA,0.3768,NA,0,1,0,0,0,0,1,0,0,0,1,1,1,1,8.181122218510486,6.969564431641003,17.88990435391816,10.729175009727363,10.812484171170397,7.920200355762347,0,0,-0.437151523,-0.609634473,-0.186560514,-0.494768939,-0.492964534,-0.407421114,-0.237136324,1.201940683315044,-1.053285432,-0.548401189,-0.322999401,-0.505828785,0.13007709933410744,-0.065457922,-0.070243363,-0.201246297,0.776804391,1062.759309718438,-0.067850643,NA,0.17496373154072156,-0.173863344
101648,2015,2019,4,Marion Military Institute,4,1,AL,4-year,GASB,5301.468683,8885.315334773219,58814815,463,457,20,23.15,0.32,55231,46539.582278481015,10229.15334773218,202,0.5918141592920354,590,26,0.514018692,NA,NA,NA,0.34,NA,NA,NA,0.3018,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8.575927780246083,9.09226777,17.88990435391816,10.91929777,10.748079948133432,9.233094848836469,0,0,-0.228406038,1.5606808500866503,-0.186560514,-0.630767969,-0.62051803,-0.476582079,-0.350524038,-0.700660161,-0.619381811,-0.788539676,0.25829218830446937,-0.602102738,-0.689350014,-0.392140215,-0.070243363,1.8702679248474472,0.9534637855143482,8885.315334773219,-0.231191789,NA,-0.320837956,0.7422731101738337
